class0,class1
0.55869609,1.05581993
0.45349894,0.45818546
0.55904849,0.56675518
0.59556336,0.60412785
0.60984582,0.60677464
0.71041646,0.72300258
2.53944893,4.74993635
4.11658495,2.24900831
2.03646662,3.82350163
0.75069006,0.74065647
3.58632647,6.58098775
0.81688958,0.80638651
0.73177964,0.71470178
6.16338676,3.43259355
0.86664859,0.86890764
0.83759955,0.83527044
2.94607775,5.21202381
1.88503676,3.46773312
6.08559508,3.17203041
0.85764441,0.80658781
0.71029032,0.68649902
0.8695716,0.81595855
0.61534722,0.57258223
0.49766346,0.46405975
2.87879068,1.40461092
0.66429913,0.61188879
0.62813676,0.56012276
0.51812406,0.46176388
0.50341351,0.45853984
0.52086846,0.45584679
1.4238448,0.67939456
2.04288056,0.97779264
0.41952511,0.37594905