0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0,0.047,0.046,0.039,0.038,0.038,0.034,0.067,0.03,0.026,0.029,0.026,0.025,0.062,0.028,0.027,0.023,0.032,0.046,0.023,0.023,0.023,0.021,0.02,0.041,0.021,0.02,0.018,0.019,0.018,0.035,0.038,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.042,0,0.05,0.052,0.035,0.041,0.037,0.065,0.033,0.026,0.029,0.025,0.024,0.064,0.028,0.026,0.023,0.03,0.044,0.022,0.023,0.023,0.02,0.019,0.039,0.021,0.019,0.017,0.018,0.017,0.033,0.037,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.037,0.045,0,0.051,0.044,0.053,0.04,0.075,0.032,0.025,0.03,0.025,0.024,0.067,0.028,0.026,0.022,0.033,0.042,0.021,0.022,0.022,0.019,0.018,0.037,0.019,0.017,0.016,0.017,0.016,0.031,0.034,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.031,0.046,0.05,0,0.035,0.053,0.046,0.07,0.037,0.026,0.03,0.025,0.024,0.072,0.029,0.026,0.023,0.031,0.043,0.021,0.023,0.022,0.019,0.018,0.037,0.02,0.018,0.016,0.017,0.016,0.031,0.034,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.029,0.03,0.042,0.035,0,0.045,0.038,0.105,0.03,0.025,0.032,0.027,0.026,0.069,0.029,0.029,0.022,0.044,0.043,0.021,0.021,0.022,0.019,0.018,0.036,0.019,0.017,0.016,0.016,0.015,0.03,0.033,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.027,0.034,0.048,0.049,0.043,0,0.054,0.085,0.035,0.025,0.032,0.025,0.024,0.077,0.029,0.027,0.022,0.035,0.041,0.02,0.021,0.021,0.018,0.017,0.035,0.019,0.017,0.015,0.016,0.015,0.029,0.032,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.024,0.029,0.035,0.041,0.034,0.052,0,0.079,0.044,0.027,0.035,0.026,0.024,0.099,0.032,0.028,0.023,0.033,0.042,0.021,0.022,0.022,0.019,0.017,0.035,0.019,0.017,0.015,0.016,0.015,0.029,0.032,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,0.027,0.035,0.033,0.05,0.044,0.042,0,0.033,0.027,0.039,0.03,0.028,0.083,0.033,0.033,0.023,0.061,0.045,0.022,0.023,0.024,0.02,0.018,0.037,0.02,0.018,0.016,0.017,0.016,0.03,0.033,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.022,0.027,0.029,0.034,0.028,0.035,0.045,0.064,0,0.033,0.037,0.028,0.026,0.1,0.039,0.03,0.026,0.03,0.047,0.023,0.026,0.025,0.02,0.018,0.039,0.021,0.018,0.016,0.017,0.016,0.031,0.035,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0.02,0.022,0.023,0.023,0.024,0.027,0.051,0.033,0,0.034,0.032,0.03,0.064,0.043,0.033,0.04,0.025,0.064,0.032,0.039,0.034,0.024,0.021,0.047,0.027,0.022,0.019,0.019,0.018,0.034,0.04,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0.021,0.024,0.026,0.028,0.029,0.034,0.07,0.034,0.032,0,0.037,0.032,0.093,0.052,0.045,0.026,0.036,0.049,0.024,0.024,0.026,0.021,0.018,0.038,0.02,0.018,0.016,0.016,0.015,0.029,0.033,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0.019,0.021,0.022,0.024,0.024,0.025,0.055,0.026,0.031,0.038,0,0.067,0.059,0.037,0.065,0.03,0.03,0.06,0.027,0.026,0.033,0.025,0.021,0.042,0.022,0.019,0.017,0.018,0.016,0.031,0.036,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0.019,0.021,0.021,0.024,0.023,0.025,0.054,0.025,0.03,0.034,0.07,0,0.056,0.034,0.049,0.031,0.029,0.064,0.029,0.027,0.036,0.027,0.023,0.045,0.023,0.02,0.018,0.019,0.017,0.033,0.038,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.022,0.025,0.029,0.032,0.031,0.037,0.05,0.079,0.049,0.032,0.049,0.031,0.028,0,0.044,0.034,0.026,0.036,0.047,0.023,0.025,0.025,0.02,0.018,0.038,0.021,0.018,0.016,0.017,0.016,0.03,0.034,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0.021,0.023,0.025,0.025,0.027,0.031,0.06,0.036,0.041,0.052,0.036,0.032,0.083,0,0.042,0.03,0.03,0.054,0.026,0.028,0.029,0.022,0.019,0.04,0.022,0.019,0.016,0.017,0.016,0.03,0.035,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0.02,0.022,0.023,0.025,0.025,0.027,0.06,0.028,0.032,0.046,0.065,0.046,0.066,0.042,0,0.029,0.032,0.056,0.026,0.026,0.031,0.023,0.02,0.041,0.022,0.019,0.017,0.018,0.016,0.031,0.035,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0.017,0.018,0.019,0.019,0.02,0.022,0.042,0.024,0.037,0.026,0.029,0.029,0.048,0.029,0.028,0,0.021,0.095,0.051,0.046,0.047,0.029,0.023,0.054,0.032,0.024,0.019,0.021,0.019,0.035,0.043,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.023,0.024,0.029,0.028,0.041,0.034,0.035,0.118,0.03,0.026,0.039,0.032,0.03,0.073,0.032,0.035,0.023,0,0.045,0.022,0.022,0.024,0.02,0.018,0.037,0.019,0.017,0.016,0.016,0.015,0.03,0.033,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0.017,0.018,0.019,0.019,0.02,0.021,0.042,0.023,0.031,0.026,0.03,0.031,0.046,0.028,0.029,0.05,0.022,0,0.06,0.036,0.067,0.037,0.027,0.062,0.033,0.026,0.021,0.023,0.02,0.037,0.045,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0.016,0.017,0.018,0.018,0.018,0.02,0.039,0.021,0.03,0.023,0.026,0.027,0.043,0.025,0.025,0.051,0.02,0.115,0,0.039,0.044,0.033,0.025,0.063,0.037,0.026,0.021,0.022,0.02,0.037,0.046,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0.019,0.019,0.021,0.02,0.021,0.023,0.043,0.026,0.04,0.026,0.027,0.027,0.05,0.03,0.027,0.05,0.022,0.074,0.042,0,0.036,0.027,0.023,0.058,0.037,0.026,0.021,0.022,0.02,0.039,0.048,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0.017,0.018,0.018,0.019,0.019,0.021,0.042,0.022,0.031,0.026,0.032,0.034,0.046,0.028,0.03,0.046,0.022,0.127,0.044,0.033,0,0.032,0.025,0.053,0.028,0.023,0.019,0.021,0.018,0.034,0.041,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0.017,0.018,0.018,0.019,0.019,0.02,0.041,0.021,0.026,0.023,0.027,0.029,0.043,0.024,0.026,0.032,0.021,0.081,0.038,0.029,0.037,0,0.044,0.074,0.032,0.03,0.025,0.03,0.023,0.043,0.052,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0.017,0.018,0.019,0.019,0.019,0.02,0.041,0.021,0.025,0.023,0.026,0.027,0.043,0.024,0.025,0.029,0.021,0.066,0.032,0.027,0.031,0.049,0,0.074,0.031,0.033,0.03,0.038,0.026,0.05,0.057,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0.017,0.017,0.018,0.018,0.018,0.019,0.038,0.021,0.026,0.022,0.024,0.024,0.042,0.023,0.023,0.031,0.02,0.068,0.037,0.031,0.031,0.038,0.034,0,0.047,0.051,0.032,0.036,0.029,0.052,0.072,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0.017,0.017,0.018,0.018,0.019,0.02,0.039,0.022,0.028,0.022,0.024,0.024,0.043,0.024,0.023,0.035,0.019,0.069,0.041,0.037,0.031,0.031,0.027,0.089,0,0.037,0.026,0.027,0.025,0.046,0.063,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0.016,0.016,0.017,0.017,0.017,0.018,0.035,0.019,0.023,0.02,0.021,0.021,0.038,0.021,0.02,0.026,0.018,0.055,0.029,0.027,0.026,0.03,0.029,0.099,0.038,0,0.038,0.038,0.033,0.058,0.098,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0.016,0.016,0.017,0.017,0.017,0.018,0.035,0.019,0.021,0.019,0.02,0.021,0.037,0.02,0.02,0.024,0.018,0.049,0.026,0.024,0.024,0.027,0.029,0.068,0.029,0.042,0,0.046,0.054,0.089,0.091,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0.016,0.017,0.017,0.018,0.018,0.019,0.037,0.02,0.023,0.02,0.022,0.023,0.039,0.021,0.022,0.026,0.019,0.055,0.028,0.025,0.026,0.033,0.037,0.078,0.031,0.042,0.047,0,0.036,0.066,0.075,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0.015,0.016,0.016,0.016,0.017,0.017,0.034,0.018,0.021,0.018,0.019,0.02,0.036,0.019,0.019,0.023,0.017,0.046,0.024,0.023,0.022,0.025,0.025,0.06,0.028,0.036,0.054,0.035,0,0.129,0.09,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0.017,0.017,0.018,0.018,0.018,0.019,0.037,0.02,0.022,0.02,0.021,0.021,0.039,0.021,0.021,0.024,0.019,0.05,0.026,0.025,0.024,0.026,0.027,0.062,0.029,0.036,0.05,0.036,0.073,0,0.084,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0.017,0.017,0.018,0.018,0.018,0.019,0.037,0.02,0.024,0.021,0.022,0.022,0.04,0.022,0.021,0.027,0.019,0.054,0.029,0.027,0.026,0.028,0.028,0.078,0.036,0.054,0.047,0.037,0.046,0.076,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0.017,0.017,0.018,0.018,0.018,0.019,0.037,0.02,0.022,0.02,0.02,0.021,0.039,0.02,0.02,0.024,0.018,0.048,0.025,0.024,0.023,0.025,0.025,0.059,0.028,0.034,0.04,0.032,0.054,0.119,0.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0.046,0.039,0.038,0.038,0.068,0.033,0.06,0.026,0.057,0.026,0.025,0.031,0.028,0.027,0.047,0.063,0.023,0.022,0.023,0.023,0.021,0.02,0.02,0.021,0.02,0.018,0.019,0.018,0.018,0.019,0.018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0,0.048,0.05,0.033,0.039,0.071,0.031,0.063,0.025,0.055,0.024,0.023,0.031,0.027,0.025,0.044,0.057,0.021,0.021,0.022,0.021,0.019,0.018,0.019,0.02,0.018,0.017,0.017,0.016,0.016,0.017,0.016
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.043,0,0.049,0.042,0.051,0.077,0.036,0.061,0.024,0.056,0.024,0.023,0.032,0.026,0.025,0.042,0.062,0.02,0.02,0.021,0.021,0.018,0.017,0.017,0.018,0.017,0.015,0.016,0.015,0.015,0.016,0.015
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0.043,0.047,0,0.034,0.05,0.088,0.033,0.07,0.025,0.057,0.024,0.022,0.034,0.027,0.025,0.043,0.058,0.02,0.02,0.021,0.021,0.018,0.017,0.018,0.019,0.017,0.015,0.016,0.015,0.015,0.016,0.015
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0.029,0.041,0.034,0,0.044,0.073,0.05,0.058,0.024,0.062,0.026,0.025,0.033,0.028,0.028,0.043,0.084,0.021,0.02,0.021,0.021,0.019,0.017,0.018,0.018,0.017,0.015,0.016,0.015,0.014,0.016,0.014
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0.032,0.045,0.046,0.04,0,0.103,0.04,0.067,0.024,0.06,0.024,0.023,0.036,0.028,0.026,0.041,0.065,0.019,0.019,0.02,0.02,0.017,0.016,0.017,0.018,0.016,0.014,0.015,0.014,0.014,0.015,0.014
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0.029,0.035,0.041,0.034,0.052,0,0.04,0.088,0.027,0.07,0.026,0.024,0.049,0.032,0.028,0.045,0.067,0.021,0.021,0.022,0.022,0.018,0.017,0.018,0.019,0.017,0.015,0.016,0.015,0.014,0.016,0.014
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0.024,0.031,0.03,0.045,0.039,0.076,0,0.06,0.024,0.071,0.027,0.025,0.038,0.03,0.03,0.042,0.109,0.02,0.02,0.02,0.021,0.018,0.017,0.017,0.018,0.016,0.014,0.015,0.014,0.014,0.015,0.013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0.026,0.029,0.034,0.028,0.035,0.091,0.032,0,0.033,0.074,0.028,0.026,0.05,0.038,0.03,0.052,0.059,0.024,0.023,0.026,0.024,0.02,0.018,0.019,0.021,0.018,0.016,0.017,0.016,0.015,0.018,0.016
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.02,0.021,0.023,0.022,0.024,0.054,0.025,0.064,0,0.066,0.031,0.029,0.031,0.042,0.032,0.077,0.049,0.031,0.031,0.038,0.033,0.024,0.02,0.023,0.026,0.021,0.018,0.019,0.018,0.017,0.02,0.017
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0.022,0.025,0.026,0.028,0.029,0.068,0.035,0.069,0.032,0,0.037,0.032,0.047,0.052,0.045,0.053,0.073,0.025,0.024,0.025,0.026,0.021,0.018,0.019,0.02,0.018,0.016,0.017,0.015,0.015,0.017,0.015
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0.019,0.021,0.021,0.023,0.023,0.05,0.027,0.051,0.03,0.074,0,0.065,0.029,0.036,0.064,0.058,0.059,0.029,0.027,0.025,0.033,0.024,0.021,0.021,0.022,0.019,0.017,0.018,0.016,0.015,0.017,0.015
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.019,0.021,0.021,0.023,0.023,0.049,0.026,0.05,0.03,0.067,0.068,0,0.028,0.033,0.048,0.061,0.057,0.032,0.028,0.026,0.036,0.026,0.023,0.022,0.023,0.02,0.018,0.019,0.017,0.016,0.019,0.016
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0.023,0.026,0.029,0.028,0.034,0.09,0.035,0.088,0.029,0.089,0.028,0.025,0,0.039,0.031,0.046,0.064,0.021,0.021,0.022,0.022,0.018,0.016,0.017,0.018,0.016,0.014,0.015,0.014,0.014,0.015,0.014
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.02,0.022,0.024,0.024,0.026,0.06,0.028,0.069,0.039,0.1,0.035,0.031,0.039,0,0.04,0.057,0.057,0.026,0.025,0.027,0.028,0.021,0.018,0.019,0.021,0.018,0.016,0.016,0.015,0.015,0.017,0.014
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.019,0.021,0.022,0.024,0.024,0.053,0.029,0.054,0.031,0.088,0.063,0.045,0.032,0.041,0,0.056,0.063,0.027,0.025,0.025,0.03,0.022,0.019,0.02,0.021,0.018,0.016,0.017,0.015,0.015,0.017,0.015
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.018,0.019,0.02,0.02,0.021,0.045,0.022,0.05,0.039,0.055,0.031,0.031,0.025,0.031,0.03,0,0.045,0.05,0.054,0.049,0.049,0.03,0.024,0.029,0.034,0.025,0.021,0.022,0.02,0.018,0.022,0.018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,0.025,0.03,0.029,0.042,0.035,0.07,0.06,0.06,0.026,0.08,0.032,0.03,0.037,0.033,0.035,0.047,0,0.023,0.022,0.022,0.024,0.021,0.019,0.019,0.02,0.018,0.016,0.017,0.016,0.015,0.017,0.015
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.016,0.017,0.018,0.018,0.019,0.04,0.02,0.044,0.03,0.049,0.029,0.03,0.022,0.027,0.027,0.095,0.042,0,0.058,0.034,0.065,0.036,0.026,0.03,0.032,0.025,0.02,0.022,0.019,0.018,0.022,0.018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.016,0.017,0.018,0.018,0.019,0.04,0.02,0.044,0.031,0.048,0.027,0.027,0.022,0.026,0.026,0.104,0.041,0.059,0,0.04,0.045,0.034,0.026,0.032,0.038,0.027,0.021,0.023,0.02,0.019,0.023,0.018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.018,0.019,0.02,0.02,0.021,0.045,0.022,0.051,0.04,0.052,0.027,0.027,0.025,0.03,0.027,0.099,0.043,0.037,0.042,0,0.035,0.027,0.023,0.029,0.036,0.026,0.021,0.022,0.02,0.019,0.024,0.019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0.017,0.018,0.019,0.019,0.02,0.042,0.021,0.046,0.032,0.053,0.033,0.034,0.024,0.029,0.03,0.095,0.044,0.065,0.045,0.033,0,0.033,0.025,0.027,0.029,0.023,0.019,0.021,0.018,0.017,0.021,0.017
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.017,0.018,0.019,0.02,0.02,0.042,0.021,0.044,0.027,0.048,0.028,0.03,0.022,0.025,0.027,0.067,0.044,0.042,0.039,0.03,0.038,0,0.046,0.038,0.034,0.031,0.026,0.031,0.024,0.022,0.027,0.021
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0.018,0.019,0.019,0.02,0.02,0.042,0.021,0.044,0.026,0.047,0.027,0.028,0.022,0.024,0.026,0.06,0.044,0.034,0.033,0.028,0.032,0.05,0,0.038,0.032,0.034,0.031,0.039,0.027,0.026,0.029,0.024
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0.017,0.018,0.018,0.018,0.019,0.039,0.019,0.042,0.026,0.044,0.024,0.025,0.021,0.023,0.023,0.063,0.04,0.034,0.037,0.031,0.031,0.038,0.034,0,0.047,0.051,0.032,0.036,0.029,0.026,0.036,0.025
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.018,0.018,0.019,0.019,0.019,0.041,0.02,0.045,0.029,0.046,0.025,0.025,0.022,0.025,0.024,0.073,0.041,0.036,0.043,0.039,0.033,0.033,0.028,0.046,0,0.039,0.027,0.029,0.026,0.024,0.033,0.024
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0.017,0.017,0.018,0.018,0.018,0.039,0.019,0.041,0.024,0.042,0.023,0.023,0.02,0.022,0.022,0.057,0.038,0.03,0.032,0.029,0.028,0.032,0.032,0.053,0.041,0,0.041,0.041,0.036,0.031,0.053,0.03
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.017,0.017,0.018,0.018,0.018,0.038,0.019,0.04,0.023,0.041,0.022,0.022,0.02,0.021,0.021,0.051,0.038,0.027,0.028,0.026,0.025,0.029,0.031,0.036,0.032,0.045,0,0.049,0.058,0.048,0.049,0.039
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.017,0.018,0.019,0.019,0.019,0.039,0.02,0.041,0.024,0.043,0.023,0.024,0.021,0.022,0.023,0.055,0.04,0.029,0.03,0.027,0.028,0.035,0.04,0.041,0.033,0.045,0.05,0,0.038,0.035,0.04,0.031
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.017,0.017,0.018,0.018,0.018,0.038,0.019,0.04,0.023,0.04,0.021,0.021,0.02,0.021,0.021,0.05,0.037,0.025,0.026,0.025,0.024,0.027,0.028,0.033,0.03,0.04,0.059,0.038,0,0.071,0.05,0.053
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.017,0.018,0.018,0.018,0.019,0.039,0.019,0.04,0.023,0.041,0.021,0.022,0.02,0.021,0.021,0.049,0.038,0.025,0.026,0.025,0.024,0.027,0.028,0.032,0.029,0.037,0.051,0.037,0.075,0,0.043,0.062
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.017,0.018,0.018,0.018,0.019,0.039,0.019,0.041,0.024,0.042,0.022,0.022,0.02,0.022,0.022,0.054,0.038,0.028,0.029,0.028,0.026,0.029,0.029,0.04,0.036,0.056,0.048,0.038,0.047,0.039,0,0.038
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0.018,0.019,0.019,0.019,0.019,0.04,0.02,0.042,0.024,0.043,0.022,0.022,0.021,0.022,0.022,0.051,0.04,0.026,0.027,0.026,0.025,0.027,0.027,0.032,0.03,0.036,0.044,0.034,0.058,0.064,0.044,0